gamma,alpha,mean_excess,ci95_low_excess,ci95_high_excess,n_reps,n_rounds
0.75,0.46,0.284319084010775,0.27481998419416104,0.29381818382738895,100,2000
0.75,0.47,0.3141312670594996,0.3023350884874628,0.3259274456315364,100,2000
0.75,0.48,0.3552799271023593,0.3428335427096522,0.36772631149506635,100,2000
0.75,0.49,0.40298930202036565,0.39229154035786884,0.41368706368286245,100,2000
1.0,0.05,0.0018612756367028986,0.0009030894911203529,0.0028194617822854444,100,2000
1.0,0.06,0.0036944689832815016,0.002465092382186566,0.0049238455843764375,100,2000
1.0,0.07,0.004119339624113577,0.002947537033528711,0.0052911422146984435,100,2000
1.0,0.08,0.006947687180461701,0.005550753274122086,0.008344621086801316,100,2000
1.0,0.09,0.008976522860360206,0.007302035713154563,0.010651010007565848,100,2000
1.0,0.1,0.008142121750500235,0.0065927717916993145,0.009691471709301156,100,2000
1.0,0.11,0.011936717596605815,0.010279887293089374,0.013593547900122255,100,2000
1.0,0.12,0.01568170592082845,0.014081035266538432,0.017282376575118465,100,2000
1.0,0.13,0.01636022119856271,0.014396354847180354,0.018324087549945065,100,2000
1.0,0.14,0.020186324599532214,0.018302164756596108,0.02207048444246832,100,2000
1.0,0.15,0.021405601915518525,0.01938079746713195,0.0234304063639051,100,2000
1.0,0.16,0.0250330204835954,0.023320866122866758,0.02674517484432404,100,2000
1.0,0.17,0.028971207106560256,0.026717475710039983,0.03122493850308053,100,2000
1.0,0.18,0.03345640274576401,0.031148972795411303,0.035763832696116715,100,2000
1.0,0.19,0.03547271377399237,0.03308382643313954,0.037861601114845204,100,2000
1.0,0.2,0.04118264097919594,0.038678776128861635,0.043686505829530244,100,2000
1.0,0.21,0.04449273933943922,0.04212301754786052,0.04686246113101793,100,2000
1.0,0.22,0.05069488527692391,0.04805390392113742,0.0533358666327104,100,2000
1.0,0.23,0.053753491211584195,0.05113345415371362,0.05637352826945477,100,2000
1.0,0.24,0.05732422776374284,0.054414412504209246,0.06023404302327643,100,2000
1.0,0.25,0.06562687541398693,0.0625531303544514,0.06870062047352246,100,2000
1.0,0.26,0.06981925478974378,0.06695362968188534,0.07268487989760222,100,2000
1.0,0.27,0.07338043900857368,0.07027896849354148,0.07648190952360587,100,2000
1.0,0.28,0.08196184696992305,0.07853678489161449,0.08538690904823161,100,2000
1.0,0.29,0.08814548613877919,0.08499570576858288,0.0912952665089755,100,2000
1.0,0.3,0.096325015775695,0.09254294429874613,0.10010708725264386,100,2000
1.0,0.31,0.10321327366594618,0.09987534595890582,0.10655120137298654,100,2000
1.0,0.32,0.11175269497403915,0.10782946741044751,0.1156759225376308,100,2000
1.0,0.33,0.11566018068380773,0.11253880934132876,0.11878155202628671,100,2000
1.0,0.34,0.126623781157723,0.12264508489307589,0.13060247742237008,100,2000
1.0,0.35,0.13900736126774788,0.13526383101879666,0.1427508915166991,100,2000
